business,googlenewsLabel,bbcnewsLabel,stockexchangeLabel,libofcongressLabel
http://www.wikidata.org/entity/Q1422,,,Italian Bourse,n79058447
http://www.wikidata.org/entity/Q2283,,,NASDAQ,n86810571
http://www.wikidata.org/entity/Q2283,,,Hong Kong Stock Exchange,n86810571
http://www.wikidata.org/entity/Q2311,,,Frankfurt Stock Exchange,nb2019003888
http://www.wikidata.org/entity/Q2311,,,Bolsa de Madrid,nb2019003888
http://www.wikidata.org/entity/Q2311,,,Euronext,nb2019003888
http://www.wikidata.org/entity/Q3312,,,OTC Markets Group,
http://www.wikidata.org/entity/Q3884,CAAqIQgKIhtDQkFTRGdvSUwyMHZNRzFuYTJjU0FtVnVLQUFQAQ,c50znx8v8y4t,NASDAQ,n99285360
http://www.wikidata.org/entity/Q3895,,,Frankfurt Stock Exchange,n2001096526
http://www.wikidata.org/entity/Q3895,,,OTC Markets Group,n2001096526
http://www.wikidata.org/entity/Q4548,,,Borsa Istanbul,no2006035838
http://www.wikidata.org/entity/Q4995,,,London Stock Exchange,
http://www.wikidata.org/entity/Q4995,,,JSE Limited,
http://www.wikidata.org/entity/Q5281,,,NASDAQ,n2007059173
http://www.wikidata.org/entity/Q5281,,,Moscow Exchange,n2007059173
http://www.wikidata.org/entity/Q6686,,,Euronext,n82069846
http://www.wikidata.org/entity/Q7240,CAAqIQgKIhtDQkFTRGdvSUwyMHZNR2hyY1c0U0FtVnVLQUFQAQ,,New York Stock Exchange,n95082784
http://www.wikidata.org/entity/Q7414,,c40rjmqdw2vt,New York Stock Exchange,n86012698
http://www.wikidata.org/entity/Q7414,,c40rjmqdw2vt,Tokyo Stock Exchange,n86012698
http://www.wikidata.org/entity/Q8061,,,Nasdaq Helsinki,
http://www.wikidata.org/entity/Q8093,,,NASDAQ,n80155453
http://www.wikidata.org/entity/Q8093,,,Frankfurt Stock Exchange,n80155453
http://www.wikidata.org/entity/Q8093,,,Tokyo Stock Exchange,n80155453
http://www.wikidata.org/entity/Q8093,,,OTC Markets Group,n80155453
http://www.wikidata.org/entity/Q8766,,cmmq89l227wt,London Stock Exchange,n50049880
http://www.wikidata.org/entity/Q8774,,c77jz3mdmy3t,London Stock Exchange,
http://www.wikidata.org/entity/Q8774,,c77jz3mdmy3t,Bolsa de Madrid,
http://www.wikidata.org/entity/Q8774,,c77jz3mdmy3t,OTC Markets Group,
http://www.wikidata.org/entity/Q9325,,,Frankfurt Stock Exchange,n50005033
http://www.wikidata.org/entity/Q9325,,,OTC Markets Group,n50005033
http://www.wikidata.org/entity/Q9396,,,Frankfurt Stock Exchange,no97011490
http://www.wikidata.org/entity/Q9401,,,Frankfurt Stock Exchange,n83010877
http://www.wikidata.org/entity/Q9401,,,London Stock Exchange,n83010877
http://www.wikidata.org/entity/Q9401,,,SIX Swiss Exchange,n83010877
http://www.wikidata.org/entity/Q9584,,,New York Stock Exchange,n81128387
http://www.wikidata.org/entity/Q9584,,,Tokyo Stock Exchange,n81128387
http://www.wikidata.org/entity/Q11407,,,New York Stock Exchange,
http://www.wikidata.org/entity/Q11463,,,NASDAQ,n85057605
http://www.wikidata.org/entity/Q11463,,,London Stock Exchange,n85057605
http://www.wikidata.org/entity/Q13683,,,New York Stock Exchange,no2007134454
http://www.wikidata.org/entity/Q14647,,,NASDAQ,n88041912
http://www.wikidata.org/entity/Q14772,,,NASDAQ,
http://www.wikidata.org/entity/Q14799,,,Hong Kong Stock Exchange,
http://www.wikidata.org/entity/Q15805,,,Hong Kong Stock Exchange,
http://www.wikidata.org/entity/Q15805,,,OTC Bulletin Board,
http://www.wikidata.org/entity/Q18224,,,Nasdaq Copenhagen,
http://www.wikidata.org/entity/Q19593,,,London Stock Exchange,
http://www.wikidata.org/entity/Q19900,,,New York Stock Exchange,nr94009943
http://www.wikidata.org/entity/Q20165,CAAqIQgKIhtDQkFTRGdvSUwyMHZNRFZpTkdNU0FtcGhLQUFQAQ,,NASDAQ,n81038497
http://www.wikidata.org/entity/Q20165,CAAqIQgKIhtDQkFTRGdvSUwyMHZNRFZpTkdNU0FtcGhLQUFQAQ,,Tokyo Stock Exchange,n81038497
http://www.wikidata.org/entity/Q20718,,c50znx8v808t,Frankfurt Stock Exchange,n85022222
http://www.wikidata.org/entity/Q20718,,c50znx8v808t,London Stock Exchange,n85022222
http://www.wikidata.org/entity/Q20718,,c50znx8v808t,Korea Exchange,n85022222
http://www.wikidata.org/entity/Q20718,,c50znx8v808t,B3,n85022222
http://www.wikidata.org/entity/Q21077,,,New York Stock Exchange,n2001063769
http://www.wikidata.org/entity/Q23317,,,Frankfurt Stock Exchange,n90636453
http://www.wikidata.org/entity/Q25775,,,New York Stock Exchange,
http://www.wikidata.org/entity/Q25796,,,New York Stock Exchange,
http://www.wikidata.org/entity/Q25996,,,Hong Kong Stock Exchange,
http://www.wikidata.org/entity/Q26049,,,New York Stock Exchange,
http://www.wikidata.org/entity/Q26298,,,Hong Kong Stock Exchange,n81080721
http://www.wikidata.org/entity/Q26298,,,Shanghai Stock Exchange,n81080721
http://www.wikidata.org/entity/Q26299,,,Hong Kong Stock Exchange,
http://www.wikidata.org/entity/Q26299,,,Australian Securities Exchange,
http://www.wikidata.org/entity/Q26299,,,Shanghai Stock Exchange,
http://www.wikidata.org/entity/Q26311,,,New York Stock Exchange,
http://www.wikidata.org/entity/Q26311,,,Tokyo Stock Exchange,
http://www.wikidata.org/entity/Q26463,,,Hong Kong Stock Exchange,nr90018391
http://www.wikidata.org/entity/Q26463,,,Australian Securities Exchange,nr90018391
http://www.wikidata.org/entity/Q26463,,,Shanghai Stock Exchange,nr90018391
http://www.wikidata.org/entity/Q26678,,,NASDAQ,n81052383
http://www.wikidata.org/entity/Q26678,,,Frankfurt Stock Exchange,n81052383
http://www.wikidata.org/entity/Q26694,,,OMX AB,
http://www.wikidata.org/entity/Q26989,,,New York Stock Exchange,n2003002279
http://www.wikidata.org/entity/Q26989,,,NASDAQ,n2003002279
http://www.wikidata.org/entity/Q26989,,,Bombay Stock Exchange,n2003002279
http://www.wikidata.org/entity/Q26989,,,National Stock Exchange of India,n2003002279
http://www.wikidata.org/entity/Q27065,,,NASDAQ,
http://www.wikidata.org/entity/Q27074,,,OTC Markets Group,
http://www.wikidata.org/entity/Q27511,,,Tokyo Stock Exchange,no2016062901
http://www.wikidata.org/entity/Q27530,,,New York Stock Exchange,no2008115581
http://www.wikidata.org/entity/Q27530,,,Frankfurt Stock Exchange,no2008115581
http://www.wikidata.org/entity/Q27530,,,Italian Bourse,no2008115581
http://www.wikidata.org/entity/Q27597,,,Italian Bourse,
http://www.wikidata.org/entity/Q27893,,,New York Stock Exchange,
http://www.wikidata.org/entity/Q27893,,,Fundsquare Market Infrastructure,
http://www.wikidata.org/entity/Q49053,,,Euronext,
http://www.wikidata.org/entity/Q49125,,,London Stock Exchange,n88253432
http://www.wikidata.org/entity/Q49125,,,Tokyo Stock Exchange,n88253432
http://www.wikidata.org/entity/Q49125,,,Nagoya Stock Exchange,n88253432
http://www.wikidata.org/entity/Q49125,,,Osaka Exchange,n88253432
http://www.wikidata.org/entity/Q50595,,,KOSDAQ,
http://www.wikidata.org/entity/Q50912,,,OTC Markets Group,nb2005005329
http://www.wikidata.org/entity/Q51744,,,NASDAQ,
http://www.wikidata.org/entity/Q51747,,,London Stock Exchange,no2008034974
http://www.wikidata.org/entity/Q51747,,,Hong Kong Stock Exchange,no2008034974
http://www.wikidata.org/entity/Q51747,,,Shanghai Stock Exchange,no2008034974
http://www.wikidata.org/entity/Q52601,,,Nasdaq Stockholm,n79139436
http://www.wikidata.org/entity/Q52618,,,NASDAQ,n50068814
http://www.wikidata.org/entity/Q52618,,,Nasdaq Stockholm,n50068814
http://www.wikidata.org/entity/Q52825,,,New York Stock Exchange,
http://www.wikidata.org/entity/Q52825,,,Bombay Stock Exchange,
http://www.wikidata.org/entity/Q52825,,,National Stock Exchange of India,
http://www.wikidata.org/entity/Q52825,,,SIX Swiss Exchange,
http://www.wikidata.org/entity/Q52846,,,OTC Markets Group,
http://www.wikidata.org/entity/Q53227,,,OTC Markets Group,
http://www.wikidata.org/entity/Q53238,,,Tokyo Stock Exchange,n81038506
http://www.wikidata.org/entity/Q53238,,,OTC Markets Group,n81038506
http://www.wikidata.org/entity/Q53247,,,Tokyo Stock Exchange,no2009093753
http://www.wikidata.org/entity/Q53247,,,Nagoya Stock Exchange,no2009093753
http://www.wikidata.org/entity/Q53247,,,Philippine Stock Exchange,no2009093753
http://www.wikidata.org/entity/Q53247,,,JASDAQ Securities Exchange,no2009093753
http://www.wikidata.org/entity/Q53247,,,OTC Markets Group,no2009093753
http://www.wikidata.org/entity/Q53257,,,London Stock Exchange,n85162882
http://www.wikidata.org/entity/Q53268,,,New York Stock Exchange,n83063437
http://www.wikidata.org/entity/Q53268,,,London Stock Exchange,n83063437
http://www.wikidata.org/entity/Q53268,,,Tokyo Stock Exchange,n83063437
http://www.wikidata.org/entity/Q53268,,,Nagoya Stock Exchange,n83063437
http://www.wikidata.org/entity/Q54075,,,OTC Markets Group,
http://www.wikidata.org/entity/Q54173,,,New York Stock Exchange,n79078780
http://www.wikidata.org/entity/Q54173,,,Tokyo Stock Exchange,n79078780
http://www.wikidata.org/entity/Q55441,,,Bolsa de Madrid,
http://www.wikidata.org/entity/Q55931,,,NASDAQ,n87858450
http://www.wikidata.org/entity/Q55931,,,London Stock Exchange,n87858450
http://www.wikidata.org/entity/Q55931,,,Korea Exchange,n87858450
http://www.wikidata.org/entity/Q58024,,,NASDAQ,no00054109
http://www.wikidata.org/entity/Q58707,,,Moscow Exchange,n82263340
http://www.wikidata.org/entity/Q59165,,,OTC Markets Group,
http://www.wikidata.org/entity/Q59507,,,NASDAQ,
http://www.wikidata.org/entity/Q59551,,,Warsaw Stock Exchange,n95084893
http://www.wikidata.org/entity/Q60003,,,Oslo Stock Exchange,nb2006014501
http://www.wikidata.org/entity/Q60188,,,London Stock Exchange,
http://www.wikidata.org/entity/Q62621,,,New York Stock Exchange,
http://www.wikidata.org/entity/Q62621,,,Tokyo Stock Exchange,
http://www.wikidata.org/entity/Q63327,,cny6mxpgnk5t,NASDAQ,no2016113467
http://www.wikidata.org/entity/Q63335,,,New York Stock Exchange,
http://www.wikidata.org/entity/Q66048,,,New York Stock Exchange,n50005103
http://www.wikidata.org/entity/Q66048,,,Frankfurt Stock Exchange,n50005103
http://www.wikidata.org/entity/Q66048,,,Italian Bourse,n50005103
http://www.wikidata.org/entity/Q71233,,,PFTS Ukraine Stock Exchange,
http://www.wikidata.org/entity/Q71946,,,New York Stock Exchange,
http://www.wikidata.org/entity/Q72539,,,New York Stock Exchange,n80045080
http://www.wikidata.org/entity/Q72539,,,Chicago Stock Exchange,n80045080
http://www.wikidata.org/entity/Q73251,,,OTC Markets Group,
http://www.wikidata.org/entity/Q74877,,,OTC Markets Group,
http://www.wikidata.org/entity/Q80635,,,New York Stock Exchange,
http://www.wikidata.org/entity/Q80788,,,Oslo Stock Exchange,no2009130102
http://www.wikidata.org/entity/Q80978,,,New York Stock Exchange,n80090459
http://www.wikidata.org/entity/Q80978,,,Tokyo Stock Exchange,n80090459
http://www.wikidata.org/entity/Q81230,,,New York Stock Exchange,n50075211
http://www.wikidata.org/entity/Q81230,,,Frankfurt Stock Exchange,n50075211
http://www.wikidata.org/entity/Q81230,,,SIX Swiss Exchange,n50075211
http://www.wikidata.org/entity/Q81230,,,Xetra,n50075211
http://www.wikidata.org/entity/Q81965,,,New York Stock Exchange,n79079577
http://www.wikidata.org/entity/Q82467,,,Shenzhen Stock Exchange,
http://www.wikidata.org/entity/Q83511,,,Warsaw Stock Exchange,
http://www.wikidata.org/entity/Q83538,,,Tokyo Stock Exchange,n82131370
http://www.wikidata.org/entity/Q83584,,,Tokyo Stock Exchange,n81132254
http://www.wikidata.org/entity/Q83716,,,Euronext Dublin,n50054772
http://www.wikidata.org/entity/Q83716,,,London Stock Exchange,n50054772
http://www.wikidata.org/entity/Q85355,,,Italian Bourse,n50005113
http://www.wikidata.org/entity/Q93894,,,Taiwan Stock Exchange,
http://www.wikidata.org/entity/Q94933,,,NASDAQ,no96003572
http://www.wikidata.org/entity/Q102673,CAAqIggKIhxDQkFTRHdvSkwyMHZNREYyWnpKckVnSmxiaWdBUAE,,Frankfurt Stock Exchange,n2001090116
http://www.wikidata.org/entity/Q102673,CAAqIggKIhxDQkFTRHdvSkwyMHZNREYyWnpKckVnSmxiaWdBUAE,,London Stock Exchange,n2001090116
http://www.wikidata.org/entity/Q102673,CAAqIggKIhxDQkFTRHdvSkwyMHZNREYyWnpKckVnSmxiaWdBUAE,,Moscow Exchange,n2001090116
http://www.wikidata.org/entity/Q105557,,,New York Stock Exchange,n83021297
http://www.wikidata.org/entity/Q105557,,,B3,n83021297
http://www.wikidata.org/entity/Q106158,,,New York Stock Exchange,n81096108
http://www.wikidata.org/entity/Q113215,,,Nasdaq Copenhagen,n80076565
http://www.wikidata.org/entity/Q113405,,,,
http://www.wikidata.org/entity/Q115880,,,,
http://www.wikidata.org/entity/Q116234,,,Tehran Stock Exchange,
http://www.wikidata.org/entity/Q116331,,,Bombay Stock Exchange,
http://www.wikidata.org/entity/Q116331,,,National Stock Exchange of India,
http://www.wikidata.org/entity/Q117059,,,London Stock Exchange,nb2005017456
http://www.wikidata.org/entity/Q118911,,,OTC Markets Group,
http://www.wikidata.org/entity/Q119991,,,New York Stock Exchange,
http://www.wikidata.org/entity/Q120371,,,,n2006072824
http://www.wikidata.org/entity/Q120433,,,,
http://www.wikidata.org/entity/Q124976,CAAqJAgKIh5DQkFTRUFvS0wyMHZNREkxZERCdU1CSUNaVzRvQUFQAQ,,National Stock Exchange of India,
http://www.wikidata.org/entity/Q125074,,,Tokyo Stock Exchange,n91119792
http://www.wikidata.org/entity/Q126559,,,New York Stock Exchange,
http://www.wikidata.org/entity/Q127074,,,New York Stock Exchange,
http://www.wikidata.org/entity/Q127955,,,Belgrade Stock Exchange,
http://www.wikidata.org/entity/Q127962,,,New York Stock Exchange,n50056833
http://www.wikidata.org/entity/Q268784,,,Hong Kong Stock Exchange,
http://www.wikidata.org/entity/Q270077,,,London Stock Exchange,
http://www.wikidata.org/entity/Q270223,,,OTC Markets Group,no2002055511
http://www.wikidata.org/entity/Q270363,,,Tokyo Stock Exchange,
http://www.wikidata.org/entity/Q270363,,,Euronext,
http://www.wikidata.org/entity/Q271413,,,Tokyo Stock Exchange,
http://www.wikidata.org/entity/Q274372,,,London Stock Exchange,
http://www.wikidata.org/entity/Q274591,,,Euronext,n85020213
http://www.wikidata.org/entity/Q275623,,,Euronext,n78067062
http://www.wikidata.org/entity/Q276345,,,NASDAQ,
http://www.wikidata.org/entity/Q276507,,,Frankfurt Stock Exchange,n84097834
http://www.wikidata.org/entity/Q276557,,,OTC Markets Group,
http://www.wikidata.org/entity/Q277115,,,Tokyo Stock Exchange,
http://www.wikidata.org/entity/Q278410,,,,
http://www.wikidata.org/entity/Q278810,,,London Stock Exchange,nb2004306170
http://www.wikidata.org/entity/Q282997,,,NASDAQ,
http://www.wikidata.org/entity/Q283457,,,New York Stock Exchange,n81096637
http://www.wikidata.org/entity/Q283790,,,London Stock Exchange,
http://www.wikidata.org/entity/Q283852,,,New York Stock Exchange,
http://www.wikidata.org/entity/Q285161,,,NASDAQ,
http://www.wikidata.org/entity/Q285328,,,Australian Securities Exchange,n95055908
http://www.wikidata.org/entity/Q285931,,,New York Stock Exchange,
http://www.wikidata.org/entity/Q286214,,,NASDAQ,
http://www.wikidata.org/entity/Q287471,,,OTC Markets Group,no92019117
http://www.wikidata.org/entity/Q287744,,,Hong Kong Stock Exchange,
http://www.wikidata.org/entity/Q287744,,,Shanghai Stock Exchange,
http://www.wikidata.org/entity/Q287820,,,,
http://www.wikidata.org/entity/Q288129,,,New York Stock Exchange,
http://www.wikidata.org/entity/Q289704,,,London Stock Exchange,
http://www.wikidata.org/entity/Q289704,,,JSE Limited,
http://www.wikidata.org/entity/Q289728,,,PFTS Ukraine Stock Exchange,
http://www.wikidata.org/entity/Q289761,,,NASDAQ,
http://www.wikidata.org/entity/Q290661,,,Euronext Amsterdam,n2002099340
http://www.wikidata.org/entity/Q290680,,,New York Stock Exchange,
http://www.wikidata.org/entity/Q291090,,,New York Stock Exchange,
http://www.wikidata.org/entity/Q291090,,,Hong Kong Stock Exchange,
http://www.wikidata.org/entity/Q291090,,,Shanghai Stock Exchange,
http://www.wikidata.org/entity/Q291171,,,New York Stock Exchange,
http://www.wikidata.org/entity/Q291171,,,Tokyo Stock Exchange,
http://www.wikidata.org/entity/Q291171,,,Euronext,
http://www.wikidata.org/entity/Q291390,,,,
http://www.wikidata.org/entity/Q291508,,,New York Stock Exchange,no2004113487
http://www.wikidata.org/entity/Q291796,,,New York Stock Exchange,
http://www.wikidata.org/entity/Q291796,,,Hong Kong Stock Exchange,
http://www.wikidata.org/entity/Q291796,,,Shanghai Stock Exchange,
http://www.wikidata.org/entity/Q291990,,,,
http://www.wikidata.org/entity/Q292291,,,,
http://www.wikidata.org/entity/Q292292,,,New York Stock Exchange,
http://www.wikidata.org/entity/Q292374,,,Australian Securities Exchange,
http://www.wikidata.org/entity/Q292428,,,Shanghai Stock Exchange,
http://www.wikidata.org/entity/Q293008,,,OMX AB,
http://www.wikidata.org/entity/Q293796,,,New York Stock Exchange,
http://www.wikidata.org/entity/Q294508,,,Moscow Exchange,
http://www.wikidata.org/entity/Q294721,,,New York Stock Exchange,
http://www.wikidata.org/entity/Q295118,,,London Stock Exchange,
http://www.wikidata.org/entity/Q295261,,,New Zealand Exchange,n96050875
http://www.wikidata.org/entity/Q295261,,,Australian Securities Exchange,n96050875
http://www.wikidata.org/entity/Q295774,,,NASDAQ,
http://www.wikidata.org/entity/Q296053,,,Taiwan Stock Exchange,
http://www.wikidata.org/entity/Q296134,,,,
http://www.wikidata.org/entity/Q296372,,,,
http://www.wikidata.org/entity/Q296455,,,,
http://www.wikidata.org/entity/Q296498,,,Toronto Stock Exchange,
http://www.wikidata.org/entity/Q297879,,,NASDAQ,
http://www.wikidata.org/entity/Q297879,,,Euronext,
http://www.wikidata.org/entity/Q298758,,,,
http://www.wikidata.org/entity/Q300120,,,New York Stock Exchange,
http://www.wikidata.org/entity/Q301965,,,New York Stock Exchange,no2007158910
http://www.wikidata.org/entity/Q302251,,,London Stock Exchange,
http://www.wikidata.org/entity/Q302850,,,Shenzhen Stock Exchange,
http://www.wikidata.org/entity/Q303341,,,New York Stock Exchange,
http://www.wikidata.org/entity/Q303580,,,,
http://www.wikidata.org/entity/Q303710,,,Toronto Stock Exchange,
http://www.wikidata.org/entity/Q304509,,,New York Stock Exchange,n96042127
http://www.wikidata.org/entity/Q304962,,,,nr91019336
http://www.wikidata.org/entity/Q305393,,,Hong Kong Stock Exchange,
http://www.wikidata.org/entity/Q305473,,,New York Stock Exchange,
http://www.wikidata.org/entity/Q306457,,,London Stock Exchange,
http://www.wikidata.org/entity/Q306764,,,New York Stock Exchange,n50057199
http://www.wikidata.org/entity/Q309084,,,Euronext,
http://www.wikidata.org/entity/Q309865,,,Nasdaq Stockholm,
http://www.wikidata.org/entity/Q310481,,,Frankfurt Stock Exchange,no2013073018
http://www.wikidata.org/entity/Q313542,,,Hong Kong Stock Exchange,
http://www.wikidata.org/entity/Q313542,,,Shanghai Stock Exchange,
http://www.wikidata.org/entity/Q315287,,,New York Stock Exchange,
http://www.wikidata.org/entity/Q315287,,,Frankfurt Stock Exchange,
http://www.wikidata.org/entity/Q317402,,,,
http://www.wikidata.org/entity/Q317513,,,Frankfurt Stock Exchange,
http://www.wikidata.org/entity/Q317513,,,Hamburg Stock Exchange,
http://www.wikidata.org/entity/Q318670,,,Frankfurt Stock Exchange,
http://www.wikidata.org/entity/Q319039,,,Bolsa de Madrid,
http://www.wikidata.org/entity/Q319344,,,New York Stock Exchange,no2002036435
http://www.wikidata.org/entity/Q319642,CAAqIggKIhxDQkFTRHdvSkwyMHZNREZ3ZG5nekVnSmxiaWdBUAE,,New York Stock Exchange,n85097795
http://www.wikidata.org/entity/Q319730,,,OTC Markets Group,
http://www.wikidata.org/entity/Q319915,,,OTC Markets Group,
http://www.wikidata.org/entity/Q320364,,,,
http://www.wikidata.org/entity/Q322153,,,New York Stock Exchange,
http://www.wikidata.org/entity/Q322320,,,New York Stock Exchange,
http://www.wikidata.org/entity/Q322601,,,Tokyo Stock Exchange,
http://www.wikidata.org/entity/Q322962,,,OTC Markets Group,n88267763
http://www.wikidata.org/entity/Q178778,,,Tokyo Stock Exchange,
http://www.wikidata.org/entity/Q178778,,,Euronext,
http://www.wikidata.org/entity/Q178778,,,OTC Markets Group,
http://www.wikidata.org/entity/Q179433,,,Tokyo Stock Exchange,n79002057
http://www.wikidata.org/entity/Q180106,,,New York Stock Exchange,n79100272
http://www.wikidata.org/entity/Q180476,,,,
http://www.wikidata.org/entity/Q180855,,,Euronext Amsterdam,
http://www.wikidata.org/entity/Q180922,,,New York Stock Exchange,
http://www.wikidata.org/entity/Q180922,,,Toronto Stock Exchange,
http://www.wikidata.org/entity/Q181507,,,New York Stock Exchange,no93025837
http://www.wikidata.org/entity/Q182197,,,Oslo Stock Exchange,
http://www.wikidata.org/entity/Q182477,,,NASDAQ,no2004070743
http://www.wikidata.org/entity/Q183184,,,New York Stock Exchange,
http://www.wikidata.org/entity/Q183184,,,B3,
